Province,Change_000s,Direction,Period,Population,Source,Source_URL
Western Cape,49,Increase,Q1 2025 vs Q4 2024,All employed persons,Bizcommunity citing Statistics South Africa QLFS,https://www.bizcommunity.com/article/unemployment-climbs-to-329-in-2025-q1-473939a
Gauteng,9,Increase,Q1 2025 vs Q4 2024,All employed persons,Bizcommunity citing Statistics South Africa QLFS,https://www.bizcommunity.com/article/unemployment-climbs-to-329-in-2025-q1-473939a
Free State,4,Increase,Q1 2025 vs Q4 2024,All employed persons,Bizcommunity citing Statistics South Africa QLFS,https://www.bizcommunity.com/article/unemployment-climbs-to-329-in-2025-q1-473939a
KwaZulu-Natal,-104,Decrease,Q1 2025 vs Q4 2024,All employed persons,Bizcommunity citing Statistics South Africa QLFS,https://www.bizcommunity.com/article/unemployment-climbs-to-329-in-2025-q1-473939a
Eastern Cape,-83,Decrease,Q1 2025 vs Q4 2024,All employed persons,Bizcommunity citing Statistics South Africa QLFS,https://www.bizcommunity.com/article/unemployment-climbs-to-329-in-2025-q1-473939a
North West,-57,Decrease,Q1 2025 vs Q4 2024,All employed persons,Bizcommunity citing Statistics South Africa QLFS,https://www.bizcommunity.com/article/unemployment-climbs-to-329-in-2025-q1-473939a
Limpopo,-55,Decrease,Q1 2025 vs Q4 2024,All employed persons,Bizcommunity citing Statistics South Africa QLFS,https://www.bizcommunity.com/article/unemployment-climbs-to-329-in-2025-q1-473939a
Mpumalanga,-43,Decrease,Q1 2025 vs Q4 2024,All employed persons,Bizcommunity citing Statistics South Africa QLFS,https://www.bizcommunity.com/article/unemployment-climbs-to-329-in-2025-q1-473939a
Northern Cape,-12,Decrease,Q1 2025 vs Q4 2024,All employed persons,Bizcommunity citing Statistics South Africa QLFS,https://www.bizcommunity.com/article/unemployment-climbs-to-329-in-2025-q1-473939a
